legacy,legacyPath,legacySize,legacyMD5,status,newPath,reason
"ihui-ai-admin-frontend","D:\历史项目存档\ihui-ai-admin-frontend\src\api\course\courseAudit.ts","1435","cb7ce4ddf33c71dc509a86215f8ee964","缺失","","stem 无匹配 (courseAudit / course-audit)"
"ihui-ai-admin-frontend","D:\历史项目存档\ihui-ai-admin-frontend\src\api\course\coursePay.ts","1166","4d50e44bf6adbf421d3a6e10052b01eb","缺失","","stem 无匹配 (coursePay / course-pay)"
"ihui-ai-admin-frontend","D:\历史项目存档\ihui-ai-admin-frontend\src\api\course\coursePayLog.ts","1276","4991d55b6a42c54b95750cc00afd4927","缺失","","stem 无匹配 (coursePayLog / course-pay-log)"
"ihui-ai-admin-frontend","D:\历史项目存档\ihui-ai-admin-frontend\src\api\course\coursePlatformLog.ts","1342","1b284afecaea1ecbd8b0fee7887c14e4","缺失","","stem 无匹配 (coursePlatformLog / course-platform-log)"
"ihui-ai-admin-frontend","D:\历史项目存档\ihui-ai-admin-frontend\src\api\course\courseVideo.ts","2176","34499330abcb29c6d34221dc056f4904","已迁移(重写)","g:\IHUI-AI\apps\web\src\components\course\CourseVideo.tsx","stem+大小相近(0.99x: courseVideo)"
"ihui-ai-admin-frontend","D:\历史项目存档\ihui-ai-admin-frontend\src\api\course\educationPlatform.ts","1303","85a62dd82b3911120012449eb48e0213","已迁移(重写)","g:\IHUI-AI\packages\database\src\schema\education-platform.ts","stem+大小相近(1.56x: educationPlatform)"
"ihui-ai-admin-frontend","D:\历史项目存档\ihui-ai-admin-frontend\src\api\course\organization.ts","1217","7ba0f7d54a3f02e39a50adc875680c65","部分迁移","g:\IHUI-AI\apps\api\src\routes\organization.ts","stem 匹配但大小差异大(1 个候选: organization)"
"ihui-ai-admin-frontend","D:\历史项目存档\ihui-ai-admin-frontend\src\api\course\userCommentLog.ts","1302","ded0c97d11b5f43ef0602e5febbe92c4","缺失","","stem 无匹配 (userCommentLog / user-comment-log)"
"ihui-ai-admin-frontend","D:\历史项目存档\ihui-ai-admin-frontend\src\api\course\userPlatform.ts","1266","8502ec7adac595a64f9e33f4ab2e9763","缺失","","stem 无匹配 (userPlatform / user-platform)"
"ihui-ai-admin-frontend","D:\历史项目存档\ihui-ai-admin-frontend\src\api\course\userVideoComment.ts","1261","8e6f965fbf9db4e4901931e050d10c20","缺失","","stem 无匹配 (userVideoComment / user-video-comment)"
"ihui-ai-admin-frontend","D:\历史项目存档\ihui-ai-admin-frontend\src\api\course\userVideoLog.ts","1279","e43e43b8058aae894c8b39930b60bf1a","缺失","","stem 无匹配 (userVideoLog / user-video-log)"
"ihui-ai-admin-frontend","D:\历史项目存档\ihui-ai-admin-frontend\src\api\course\zhsIdentity.ts","1191","88aefa968a98a3751b9143f017bc8058","部分迁移","g:\IHUI-AI\apps\api\src\routes\admin\zhs-identity.ts","stem 匹配但大小差异大(1 个候选: zhsIdentity)"
"ihui-ai-admin-frontend","D:\历史项目存档\ihui-ai-admin-frontend\src\api\general\ai_gc.ts","833","4c6c0e1da7d8ef2cdcca9eb00e636fa2","缺失","","stem 无匹配 (ai_gc / ai_gc)"
"ihui-ai-admin-frontend","D:\历史项目存档\ihui-ai-admin-frontend\src\api\login.ts","5646","ea44fda4ca6fe2bb244deae3c95ee01c","已迁移(重写)","g:\IHUI-AI\apps\miniapp-taro\src\pages\login\login.tsx","stem+大小相近(1.09x: login)"
"ihui-ai-admin-frontend","D:\历史项目存档\ihui-ai-admin-frontend\src\api\menu.ts","2808","bab2dee3ffa58a1ae77708cf6c8ebe06","缺失","","stem 无匹配 (menu / menu)"
"ihui-ai-admin-frontend","D:\历史项目存档\ihui-ai-admin-frontend\src\api\monitor\job.ts","1300","21e3cdc51924ad1d1865f43b5f972ab0","缺失","","stem 无匹配 (job / job)"
"ihui-ai-admin-frontend","D:\历史项目存档\ihui-ai-admin-frontend\src\api\monitor\jobLog.ts","522","4fb1676b66b05a67d3f7f24d4a717c36","缺失","","stem 无匹配 (jobLog / job-log)"
