source,httpMethod,path,mappedPath,normalizedPath,legacyFile,legacyClass,status,appliedRule,matchedRoutes,reason
"fastify","GET","/history","/history","/history","","","无需迁移","","GET /history (stock.ts:65)","当前仓库新增端点(无 Java 对应)"
"fastify","PUT","/category-dictionary/:id","/category-dictionary/:id","/category-dictionary/:id","","","无需迁移","","PUT /category-dictionary/:id (system-extended.ts:169)","当前仓库新增端点(无 Java 对应)"
"fastify","DELETE","/category-dictionary/:id","/category-dictionary/:id","/category-dictionary/:id","","","无需迁移","","DELETE /category-dictionary/:id (system-extended.ts:185)","当前仓库新增端点(无 Java 对应)"
"fastify","GET","/bot-sites/list","/bot-sites/list","/bot-sites/list","","","无需迁移","","GET /bot-sites/list (system-extended.ts:214)","当前仓库新增端点(无 Java 对应)"
"fastify","GET","/bot-sites/:id","/bot-sites/:id","/bot-sites/:id","","","无需迁移","","GET /bot-sites/:id (system-extended.ts:246)","当前仓库新增端点(无 Java 对应)"
"fastify","POST","/bot-sites","/bot-sites","/bot-sites","","","无需迁移","","POST /bot-sites (system-extended.ts:260)","当前仓库新增端点(无 Java 对应)"
"fastify","PUT","/bot-sites/:id","/bot-sites/:id","/bot-sites/:id","","","无需迁移","","PUT /bot-sites/:id (system-extended.ts:272)","当前仓库新增端点(无 Java 对应)"
"fastify","DELETE","/bot-sites/:id","/bot-sites/:id","/bot-sites/:id","","","无需迁移","","DELETE /bot-sites/:id (system-extended.ts:290)","当前仓库新增端点(无 Java 对应)"
"fastify","GET","/ws-admin/connections","/ws-admin/connections","/ws-admin/connections","","","无需迁移","","GET /ws-admin/connections (system-extended.ts:311)","当前仓库新增端点(无 Java 对应)"
"fastify","GET","/ws-admin/connections/:id","/ws-admin/connections/:id","/ws-admin/connections/:id","","","无需迁移","","GET /ws-admin/connections/:id (system-extended.ts:339)","当前仓库新增端点(无 Java 对应)"
"fastify","GET","${WS_CONN_PREFIX}${parsed.data.id}","${WS_CONN_PREFIX}${parsed.data.id}","$:ws_conn_prefix${parsed.data.id}","","","无需迁移","","GET ${WS_CONN_PREFIX}${parsed.data.id} (system-extended.ts:344)","当前仓库新增端点(无 Java 对应)"
"fastify","DELETE","/ws-admin/connections/:id","/ws-admin/connections/:id","/ws-admin/connections/:id","","","无需迁移","","DELETE /ws-admin/connections/:id (system-extended.ts:355)","当前仓库新增端点(无 Java 对应)"
"fastify","GET","/compat/*","/compat/*","/compat/*","","","无需迁移","","GET /compat/* (system-extended.ts:385)","当前仓库新增端点(无 Java 对应)"
"fastify","GET","/integrations","/integrations","/integrations","","","无需迁移","","GET /integrations (system.ts:396)","当前仓库新增端点(无 Java 对应)"
"fastify","POST","/integrations","/integrations","/integrations","","","无需迁移","","POST /integrations (system.ts:402)","当前仓库新增端点(无 Java 对应)"
"fastify","PATCH","/integrations/:id","/integrations/:id","/integrations/:id","","","无需迁移","","PATCH /integrations/:id (system.ts:416)","当前仓库新增端点(无 Java 对应)"
"fastify","DELETE","/integrations/:id","/integrations/:id","/integrations/:id","","","无需迁移","","DELETE /integrations/:id (system.ts:434)","当前仓库新增端点(无 Java 对应)"
"fastify","POST","/integrations/:id/test","/integrations/:id/test","/integrations/:id/test","","","无需迁移","","POST /integrations/:id/test (system.ts:448)","当前仓库新增端点(无 Java 对应)"
"fastify","GET","/logs","/logs","/logs","","","无需迁移","","GET /logs (system.ts:474)","当前仓库新增端点(无 Java 对应)"
"fastify","POST","/logs/cleanup","/logs/cleanup","/logs/cleanup","","","无需迁移","","POST /logs/cleanup (system.ts:485)","当前仓库新增端点(无 Java 对应)"
"fastify","GET","/logs/stats","/logs/stats","/logs/stats","","","无需迁移","","GET /logs/stats (system.ts:497)","当前仓库新增端点(无 Java 对应)"
"fastify","GET","/events","/events","/events","","","无需迁移","","GET /events (system.ts:513)","当前仓库新增端点(无 Java 对应)"
"fastify","POST","/events","/events","/events","","","无需迁移","","POST /events (system.ts:524)","当前仓库新增端点(无 Java 对应)"
"fastify","PATCH","/events/:id","/events/:id","/events/:id","","","无需迁移","","PATCH /events/:id (system.ts:534)","当前仓库新增端点(无 Java 对应)"
"fastify","DELETE","/events/:id","/events/:id","/events/:id","","","无需迁移","","DELETE /events/:id (system.ts:550)","当前仓库新增端点(无 Java 对应)"
"fastify","GET","/devices","/devices","/devices","","","无需迁移","","GET /devices (tbox.ts:49)","当前仓库新增端点(无 Java 对应)"
"fastify","GET","/devices/:id","/devices/:id","/devices/:id","","","无需迁移","","GET /devices/:id (tbox.ts:59)","当前仓库新增端点(无 Java 对应)"
"fastify","POST","/devices","/devices","/devices","","","无需迁移","","POST /devices (tbox.ts:67)","当前仓库新增端点(无 Java 对应)"
"fastify","POST","/devices/:id/command","/devices/:id/command","/devices/:id/command","","","无需迁移","","POST /devices/:id/command (tbox.ts:74)","当前仓库新增端点(无 Java 对应)"
"fastify","GET","/devices/:id/commands","/devices/:id/commands","/devices/:id/commands","","","无需迁移","","GET /devices/:id/commands (tbox.ts:93)","当前仓库新增端点(无 Java 对应)"
"fastify","POST","/events","/events","/events","","","无需迁移","","POST /events (tbox.ts:105)","当前仓库新增端点(无 Java 对应)"
"fastify","POST","/agent/channel/deploy","/agent/channel/deploy","/agent/channel/deploy","","","无需迁移","","POST /agent/channel/deploy (tbox.ts:141)","当前仓库新增端点(无 Java 对应)"
"fastify","GET","/invitations","/invitations","/invitations","","","无需迁移","","GET /invitations (teams.ts:149)","当前仓库新增端点(无 Java 对应)"
"fastify","POST","/invitations/:token/accept","/invitations/:token/accept","/invitations/:token/accept","","","无需迁移","","POST /invitations/:token/accept (teams.ts:158)","当前仓库新增端点(无 Java 对应)"
"fastify","POST","/invitations/:token/reject","/invitations/:token/reject","/invitations/:token/reject","","","无需迁移","","POST /invitations/:token/reject (teams.ts:190)","当前仓库新增端点(无 Java 对应)"
"fastify","PATCH","/:id","/:id","/:id","","","无需迁移","","PATCH /:id (teams.ts:376)","当前仓库新增端点(无 Java 对应)"
"fastify","DELETE","/:id","/:id","/:id","","","无需迁移","","DELETE /:id (teams.ts:402)","当前仓库新增端点(无 Java 对应)"
"fastify","GET","/:id/members","/:id/members","/:id/members","","","无需迁移","","GET /:id/members (teams.ts:425)","当前仓库新增端点(无 Java 对应)"
"fastify","PATCH","/:id/members/:userId","/:id/members/:userId","/:id/members/:userid","","","无需迁移","","PATCH /:id/members/:userId (teams.ts:446)","当前仓库新增端点(无 Java 对应)"
"fastify","DELETE","/:id/members/:userId","/:id/members/:userId","/:id/members/:userid","","","无需迁移","","DELETE /:id/members/:userId (teams.ts:485)","当前仓库新增端点(无 Java 对应)"
"fastify","POST","/:id/invitations","/:id/invitations","/:id/invitations","","","无需迁移","","POST /:id/invitations (teams.ts:518)","当前仓库新增端点(无 Java 对应)"
"fastify","GET","/:id/invitations","/:id/invitations","/:id/invitations","","","无需迁移","","GET /:id/invitations (teams.ts:568)","当前仓库新增端点(无 Java 对应)"
"fastify","POST","/v1/telemetry/ingest","/v1/telemetry/ingest","/telemetry/ingest","","","无需迁移","","POST /v1/telemetry/ingest (telemetry.ts:36)","当前仓库新增端点(无 Java 对应)"
"fastify","GET","/v1/telemetry/health","/v1/telemetry/health","/telemetry/health","","","无需迁移","","GET /v1/telemetry/health (telemetry.ts:68)","当前仓库新增端点(无 Java 对应)"
"fastify","POST","/","/","/","","","无需迁移","","POST / (tenant.ts:61)","当前仓库新增端点(无 Java 对应)"
"fastify","GET","/","/","/","","","无需迁移","","GET / (tenant.ts:99)","当前仓库新增端点(无 Java 对应)"
"fastify","GET","/:id","/:id","/:id","","","无需迁移","","GET /:id (tenant.ts:110)","当前仓库新增端点(无 Java 对应)"
