category,old_table,new_table,old_source,new_file,match_type,normalized_old,normalized_new
partial,learn_topic_topic_category_relation,edu_category,edu-init_database.sql,G:\IHUI-AI\packages\database\src\schema\edu-full.ts,business,topic_topic_category_relation,category
partial,live_channel,live_channel_category,edu-init_database.sql,G:\IHUI-AI\packages\database\src\schema\live-extended.ts,prefix,channel,channel_category
partial,live_channel_category_relation,live_channel_category,edu-init_database.sql,G:\IHUI-AI\packages\database\src\schema\live-extended.ts,prefix,channel_category_relation,channel_category
partial,message_announcement_read_record,announcements,edu-init_database.sql,G:\IHUI-AI\packages\database\src\schema\content.ts,prefix,announcement_read_record,announcement
partial,message_private_letter,chat_messages,edu-init_database.sql,G:\IHUI-AI\packages\database\src\schema\chat.ts,business,private_letter,chat_message
partial,message_template,chat_messages,edu-init_database.sql,G:\IHUI-AI\packages\database\src\schema\chat.ts,business,template,chat_message
partial,order_order_payment,orders,edu-init_database.sql,G:\IHUI-AI\packages\database\src\schema\billing.ts,prefix,order_payment,order
partial,point_channel,live_channel_category,edu-init_database.sql,G:\IHUI-AI\packages\database\src\schema\live-extended.ts,prefix,channel,channel_category
partial,point_point,edu_point_channels,edu-init_database.sql,G:\IHUI-AI\packages\database\src\schema\point.ts,prefix,point,point_channel
partial,point_point_channel_relation,edu_point_channels,edu-init_database.sql,G:\IHUI-AI\packages\database\src\schema\point.ts,prefix,point_channel_relation,point_channel
partial,resource_resource,edu_resource_category,edu-init_database.sql,G:\IHUI-AI\packages\database\src\schema\edu-full.ts,prefix,resource,resource_category
partial,resource_resource_category_relation,edu_resource_category,edu-init_database.sql,G:\IHUI-AI\packages\database\src\schema\edu-full.ts,prefix,resource_category_relation,resource_category
partial,t_announcement_read_record,announcements,edu-init_database.sql,G:\IHUI-AI\packages\database\src\schema\content.ts,prefix,announcement_read_record,announcement
partial,t_answer,ask_answers,edu-init_database.sql,G:\IHUI-AI\packages\database\src\schema\community.ts,business,answer,ask_answer
partial,t_article,help_articles,edu-init_database.sql,G:\IHUI-AI\packages\database\src\schema\content.ts,business,article,help_article
partial,t_article_category_relation,help_articles,edu-init_database.sql,G:\IHUI-AI\packages\database\src\schema\content.ts,business,article_category_relation,help_article
partial,t_channel,live_channel_category,edu-init_database.sql,G:\IHUI-AI\packages\database\src\schema\live-extended.ts,prefix,channel,channel_category
partial,t_channel_category_relation,live_channel_category,edu-init_database.sql,G:\IHUI-AI\packages\database\src\schema\live-extended.ts,prefix,channel_category_relation,channel_category
partial,t_circle_category_relation,circles,edu-init_database.sql,G:\IHUI-AI\packages\database\src\schema\community.ts,prefix,circle_category_relation,circle
partial,t_circle_member,circles,edu-init_database.sql,G:\IHUI-AI\packages\database\src\schema\community.ts,prefix,circle_member,circle
partial,t_company,company_types,edu-init_database.sql,G:\IHUI-AI\packages\database\src\schema\member-extended.ts,prefix,company,company_type
partial,t_exam,edu_exam_category,edu-init_database.sql,G:\IHUI-AI\packages\database\src\schema\edu-full.ts,prefix,exam,exam_category
partial,t_exam_category_relation,edu_exam_category,edu-init_database.sql,G:\IHUI-AI\packages\database\src\schema\edu-full.ts,prefix,exam_category_relation,exam_category
partial,t_learn_map_topic,edu_learn_map,edu-init_database.sql,G:\IHUI-AI\packages\database\src\schema\edu-full.ts,prefix,learn_map_topic,learn_map
partial,t_lesson,edu_lesson_homework,edu-init_database.sql,G:\IHUI-AI\packages\database\src\schema\edu-full.ts,prefix,lesson,lesson_homework
partial,t_lesson_category_relation,edu_category,edu-init_database.sql,G:\IHUI-AI\packages\database\src\schema\edu-full.ts,business,lesson_category_relation,category
partial,t_lesson_chapter,edu_lesson_homework,edu-init_database.sql,G:\IHUI-AI\packages\database\src\schema\edu-full.ts,business,lesson_chapter,lesson_homework
partial,t_lesson_chapter_section,edu_lesson_homework,edu-init_database.sql,G:\IHUI-AI\packages\database\src\schema\edu-full.ts,business,lesson_chapter_section,lesson_homework
partial,t_member,member_groups,edu-init_database.sql,G:\IHUI-AI\packages\database\src\schema\member-extended.ts,prefix,member,member_group
partial,t_member_company,edu_member_company_relations,edu-init_database.sql,G:\IHUI-AI\packages\database\src\schema\member-extended.ts,prefix,member_company,member_company_relation
